en,zh
uncle,叔.伯.舅.姑/姨丈
under,在…之下
underline,畫底線
underpass,地下道
understand,了解
underwear,內衣[不可數]
unhappy,不快樂的
uniform,制服
unique,獨一無二的
universe,宇宙
university,大學
until,直到
up,往上
upon,在…之上
upstairs,樓上
usa,美國
use,使用
useful,有用的
usual,通常的
usually,慣常地
vacation,假期
valley,山谷
valuable,有價值的
value,價值
vegetable,蔬菜
vendor,小販
very,非常
vest,背心
victory,勝利
video,錄影機(帶)
village,村莊
vinegar,醋
violin,小提琴
visit,拜訪、參觀
visitor,訪客
vocabulary,字彙
volleyball,排球
vote,投票
waist,腰
wait,等待
waiter,男服務生
waitress,女服務生
wake,醒來、喚醒
walk,走路
walkman,隨身聽
wall,牆(壁)
wallet,皮夾
want,想要 + to VR
war,戰爭
warm,溫暖的
wash,清洗
waste,浪費 (+V-ing)
watch,手表
water,水
waterfalls,瀑布
watermelon,西瓜
wave,揮手
way,方法、道路
weak,虛弱的
wear,服裝
weather,天氣
wedding,婚禮
wednesday,週三
week,星期
weekday,平日
weekend,週末
weight,重量
welcome,歡迎
well,健康、安好的(grandpa) (祖父、外公)
west,西方(的)
wet,濕的
whale,鯨魚
what,什麼(事物)
wheel,輪子
when,何時
where,何地
whether,是否
which,哪一個
while,當…時
white,白色(的)
who,什麼人
whole,全體的、整個的
why,什麼原因
wide,寬的
wife,妻子
wild,野生的
win,贏
wind,風
window,窗戶
windy,多風的
wing,翅膀
winner,贏家
winter,冬天
wise,有智慧的
wish,但願
with,帶有、和
without,無、沒有
wok,炒菜鍋
wolf,野狼
woman,女人
wonderful,極好的
wood,木頭
woods,樹林
word,字、話
work,工作
workbook,習作簿
worker,工人
world,世界
worry,擔心
wound,傷口
wrist,手腕
write,寫
writer,作家
wrong,錯的
yard,碼
year,年
yell,吼叫
yellow,黃色(的)
yesterday,昨天
yet,尚未(否定)
young,年輕的
your,你(們)的
yourself,你自己
yourselves,你們自己
youth,青年
yummy,好吃的
zebra,斑馬
zero,零
zoo,動物園
